file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,0
style.css,55,css,ecb7170e,jordipham,2025-04-09,20:18:24,-07:00,2025-04-09T20:18:24-07:00,0,0
style.css,56,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,14
style.css,57,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,44
style.css,58,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,21
style.css,59,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,0
style.css,60,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,61,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,22
style.css,62,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,14
style.css,63,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,51
style.css,64,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,50
style.css,65,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,54
style.css,66,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,47
style.css,67,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,58
style.css,68,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,64
style.css,69,css,5fbb08fe,jordipham,2025-05-09,11:55:44,-07:00,2025-05-09T11:55:44-07:00,0,57
style.css,70,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,0
style.css,71,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,0
style.css,72,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,21
style.css,73,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,50
style.css,74,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,53
style.css,75,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,0
